Название,Компания,Требования,Обязаности,Зарплата,Опыт работы,Ссылка,ID
ИТ-лидер стрима Пенсионеры (Семейный банк),Альфа-Банк,Опыт управления разработкой больших высоконагруженных систем и командами разработчиков (от 4 команд) от 2-х лет,Разрабатывать и исполнять техническую стратегию развития стрима. Обеспечивать архитектурную целостность и качество выпускаемых решений/продуктов. Исполнять продуктовые планы стрима. ,Не указана,Более 6 лет,https://hh.ru/vacancy/120409980,120409980
Специалист по информационной безопасности,"К Телеком,ООО","Опыт эксплуатации средств защиты информации (антивирусной защиты, обнаружения вторжений, межсетевого экранирования, защиты от утечек данных, систем сбора и корреляции событий). ","Настройка, администрирование и контроль работы систем защиты информации. Анализ потоков информации в корпоративной информационной сети на предмет утечки конфиденциальной информации. ",80000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120442773,120442773
Начальник отдела,ФГБУК Роскультпроект,"Высшее образование ""Государственное и муниципальное управление"", ""Информационные технологии"", ""Информационная безопасность"". Релевантный опыт не менее 2 лет",Координация и контроль работы сотрудников отдела. Стратегическое планирование работы отдела. Указания и поручения сотрудникам отдела в пределах их полномочий. ,90000 - 180000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120482032,120482032
Мобильный системный инженер,Союз 76,"Опыт работы в аналогичной сфере приветствуется. Коммуникабельность, ответственность, желание развиваться и обучаться.","Обслуживание IT-оборудования на объектах заказчика (рабочие места, сервера, кассовые терминалы и тд). Предоставление отчетной документации по факту выполненных работ.",80000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120882421,120882421
VoIP менеджер,M1,"Уверенные знания VoIP-протоколов: SIP, RTP, H.323. - Опыт с: Asterisk, FreePBX, Kamailio, Cisco CallManager",Анализ и оптимизация инфраструктуры корпоративной телефонии. - Настройка и оптимизация маршрутизации звонков,150000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120979452,120979452
Системный инженер,"ХОСТ, Группа компаний",,Серверное оборудование. Системы хранения данных. Операционные системы и компьютерные сети. Виртуализация. Системы резервного копирования. Техническая поддержка клиентов удаленно (2 линия). ,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/119513568,119513568
Администратор по информационной безопасности,"Тонус, сеть медицинских клиник",,Эксплуатация технических средств защиты и предотвращение утечки конфиденциальной информации. Расследование инцидентов информационной безопасности и оперативное принятие контрмер,60000 -  RUR,Нет опыта,https://hh.ru/vacancy/119655339,119655339
Специалист по информационной безопасности (по защите информации),Министерство спорта Самарской области,,"Проектирование системы защиты информации. Применение СЗИ и СКЗИ (антивирусные системы, криптографические системы, электронная подпись)",53245 - 76480 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120419298,120419298
Начальник отдела сопровождения информационно-телекоммуникационной инфраструктуры,ГБУ РО Региональный центр информационных систем,Высшее образование. Опыт работы в области информационных технологий на аналогичных позициях не менее 2-х лет,,80000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120834610,120834610
Специалист по информационной безопасности,ГБУЗ КПТД,Знание стандартного и специализированного программного обеспечения на уровне администратора,Участие в проверках по соблюдению требований информационной безопасности в структурных подразделениях учреждения,50000 - 60000 RUR,Нет опыта,https://hh.ru/vacancy/119419615,119419615
LINUX Инженер,Астерит,"Навыки развертывания и администрирования: RHEL, CentOS, Debian, AstraLinux, RED OS. Навыки развертывания и администрирования: SAMBA DC, LDAP, FreeIPA, AD. ",Участие в разработке и внедрении проектов корпоративной ИТ-инфраструктуры в т.ч. импортозамещения. Мониторинг ИТ-сервисов. Техническая поддержка.,100000 - 180000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120617494,120617494
SOC Expert,Лаборатория Касперского,Будет плюсом: Опыт работы аналитиком SOC. Опыт расследования инцидентов ИБ на уровне проведения «root cause analysis»,,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/121100966,121100966
Сетевой администратор,Тольяттихимбанк,"Опыт работы в IT компании, не менее 2х лет. Активное использование сетевых технологий и оборудования","Настраивать и администрировать телекоммуникационное оборудование (коммутаторы, маршрутизаторы), связность подсетей, маршрутизация. Обеспечивать бесперебойную работу сети и отказоустойчивость",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/119587788,119587788
Начальник пожарной части (госслужба),ФКУ ИК-13 УФСИН России по Хабаровскому краю,Военный билет (для военнообязанных) . Высшее образование.,,85000 -  RUR,Нет опыта,https://hh.ru/vacancy/120267171,120267171
Младший эксперт по информационной безопасности,Онлайн-школа Фоксфорд,"Опыт администрирования СЗИ от 1,5 лет. Практические навыки администрирования клиентских и серверных операционных систем Windows/*nix","Администрирование средств защиты информации, взаимодействие с внешними подрядчиками по сопровождению систем",180000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120649178,120649178
Системный администратор,Леди и Джентльмен,Опыт работы системным администратором от 3 лет,"Сопровождение, развитие, поддержка, организация бесперебойной работы ИТ-инфраструктуры (в том числе физические/виртуальные сервера, облачные среды)",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120831189,120831189
Специалист по информационной безопасности,ГСКС Профи,"Высшее/незаконченное высшее техническое (профильное, в области информационной безопасности) образование",Выезды на объекты заказчика (госсектор) для проведения работ по защите информации. Внедрение и администрирование средств защиты информации,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120496461,120496461
Специалист по аттестации государственных информационных систем,КГКУ Центр информационных технологий Красноярского края,,,79000 - 79000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/119919194,119919194
Сетевой инженер,Северен Телеком,Знание основ коммутации и маршрутизации на уровне CCNA R&S (сертификат. Не требуется),"Обслуживание сетевой инфраструктуры компании, включающей локальную сеть, оборудование ядра, внешнюю транспортную сеть, межсетевые экраны и. Оборудование СКЗИ",105000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120275052,120275052
Системный инженер,Р7,"Знание Linux и Windows на уровне администрирования, умение развернуть дистрибутив, настроить сеть, открыть порты и т.д",Поддержка инфраструктуры организации. Оказание технической поддержки 3-й линии,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120849183,120849183
Сетевой инженер,Цифровое Приморье,Понимание модели OSI. Опыт работы с маршрутизирующим и коммутирующим оборудованием различных производителей. Опыт работы с системами мониторинга,"Эксплуатация и администрирование сетевого оборудования различных вендоров (Huawei, Eltex, dlink, mikrotik, и т.д.). Ведение технической документации",160000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/94655942,94655942
Специалист по тестированию информационных систем,ЭЛЕКТРОННЫЕ ОФИСНЫЕ СИСТЕМЫ,Опыт работы в области тестирования ИС. Владение компьютером на уровне опытного пользователя,"Тестирование информационных систем. Написание сценариев тестирования. Воспроизведение ошибок, анализ причин их возникновения, постановка задач на исправление. Настройка информационных систем.",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/115637710,115637710
Сетевой инженер по информационной безопасности,ПиЭлСи Технолоджи,Высшее техническое образование,Разработка технических решений по организации зашиты информации (тех экспертиза при проектировании),Не указана,От 3 до 6 лет,https://hh.ru/vacancy/119380523,119380523
Стажер-аналитик SOC,Национальная Страховая Информационная Система,Профильное высшее образование (либо обучение на выпускных курсах),Помогать словом и делом коллегам из ИТ-инфраструктуры,60900 - 69600 RUR,Нет опыта,https://hh.ru/vacancy/120693090,120693090
Руководитель отдела информационной безопасности,Контакт,Опыт работы от 3-х лет в области информационной безопасности на аналогичной должности,"Внедрение и сопровождение средств защиты информации (администрирование, мониторинг работоспособности, управление, конфигурирование)",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120924952,120924952
Руководитель группы информационной безопасности,Авиаагрегат,"Высшее образование. Знание средств защиты информации (антивирусные средства, межсетевые экраны...)","Организация работы по обеспечению ИБ, принятие решений по вопросам обеспечения ИБ",85000 - 90000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120953381,120953381
DevOps инженер,Платформа Трим,Опыт работы в высоконагруженных проектах от 3-х лет. Понимание принципов построения отказоустойчивых систем работающих в условиях большой нагрузки. ,"Внедрение, поддержка и развитие Kubernetes, CI/CD, инструментов систем мониторинга, автоматизации рутинных процессов",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/121019125,121019125
Эксперт департамента сертификации и тестирования (анализ защищенности),НПО Эшелон,Высшее техническое образование (желательно по направлению «Информационная безопасность». Опыт работы в области практического анализа защищенности и тестирования на проникновение. ,"Проведение сертификационных испытаний в части анализа защищённости средств защиты информации, в соответствии с требованиями ФСТЭК России",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/121094006,121094006
Электромонтёр средств ОПС,КЧОП Сотня,Умение работать с паяльной станцией. Умение работать с измерительными приборами. Опыт работы не обязателен (обучаем).,Видеокамеры. Датчики. Приборы ОПС.,Не указана,Нет опыта,https://hh.ru/vacancy/120369924,120369924
Ведущий специалист отдела мониторинга и реагирования,Газпром телеком,,"Сбор и анализ событий в сегментах сети передачи данных, определение событий, классифицируемых как инцидент ИБ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120492387,120492387
Специалист по информационной безопасности,НПК Финист-софт,"Высшее образование по направлению ""Информационная безопасность"" или переподготовка в данной области (от 500 часов аудиторных занятий)",Оценку уязвимостей по стандартам ОУД4 и PCI DSS. - Оценку влияния внедрения криптографических средств и сертификация по ГОСТ 57580. - ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120922635,120922635
Системный администратор Windows,ФИНТЕХ,Опыт администрирования систем на базе технологий Microsoft/Linux. Опыт администрирования СУБД. Опыт внедрения и настройки серверного и сетевого оборудования. ,Программно-технические комплексы пунктов пропуска через государственную границу. Системы биометрической верификации и идентификации. Системы защиты информации. Системы специальной проверки документов. ,150000 - 250000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120042733,120042733
Ведущий специалист,ФГУП НТЦ Заря,Знание и умение настройки и обслуживания серверного и оконечного оборудования видеоконференцсвязи,"Настройка и обслуживание серверного оборудования видеоконференцсвязи. Установка и обслуживание оборудования IT-инфраструктуры (маршрутизаторы, коммутаторы), монтаж и обслуживание слаботочной кабельной системы. ",120000 - 120000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120993638,120993638
Руководитель развития информационно-технического отдела,РАДИСТ,"Опыт работы руководителем ИТ отдела или менеджером проектов. Продвинутые навыки коммуникации с коллегами, клиентами и руководством","Эффективное руководство командой ИТ-специалистов: мотивация, развитие, постановка задач, контроль выполнения. Взаимодействие и координация работ с другими подразделениями компании. ",120000 - 180000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/119535447,119535447
Администратор информационной безопасности,В Кадре,Высшее образование по направлению информационной безопасности / переквалификация. Знание законодательства РФ в области защиты информации,"Мониторинг, анализ и расследование инцидентов информационной безопасности. Проведение работ по установке и техническому обслуживанию средств защиты информации",250000 - 250000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120379733,120379733
Инженер Dev-Ops,БИЗНЕС КОННЕКТ,,"Создание, поддержка, развитие айти инфраструктуры в облаках. Поддержка разработки - разворачивание, сопровождение CI/CD инфраструктуры",200000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120782423,120782423
Младший консультант отдела информационной безопасности,ТФОМС Волгоградской области,,,46373 - 49780 RUR,От 3 до 6 лет,https://hh.ru/vacancy/113098572,113098572
Сервисный инженер (Специалист ИТ),МАСТ,"Опыт работы в аналогичных сферах приветствуются. Опыт ремонта ПК на уровне блочного ремонта. Способность планировать свою работу, самоорганизация. Ответственность.",Сервисное обслуживание ИТ-оборудования на торговых объектах (выезды к клиенту). Ремонт и настройка ИТ-оборудования на объектах заказчика. ,100000 - 150000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118829321,118829321
Инженер по внедрению.,БПС Инновационные Программные Решения,Высшее техническое образование. Понимание процесса разработки и внедрения ПО. Опыт работы во внедрении от 3х лет. Уверенное знание SQL. ,"Внедрение\поддержка программного обеспечения банковской системы карточного процессинга. Тестирование, инсталляция и настройка новых модулей и функций",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120100681,120100681
Главный специалист-эксперт (по информационной безопасности),Министерство здравоохранения Республики Башкортостан,"Диплом по специальности информационная безопасность, защита информации. Либо техническая специальность с условием дополнительного обучения за счет работодателя","Изучить и вести разработанную ранее организационно-распорядительную документацию по ИСПДн , КИИ",40000 - 50000 RUR,Нет опыта,https://hh.ru/vacancy/120595186,120595186
DevOps-инженер (iGaming) k8s/Helm/Docker/HAProxy,Lenkep recruitment,"Глубокий опыт в области оркестровки и инструментов k8s (k0s): Helm, Kustomize (развертывания производственного уровня). - ","Проектирование, развертывание и поддержка кластеров k8s (k0s) с помощью Helm/Kustomize",2500 USD,От 1 года до 3 лет,https://hh.ru/vacancy/120923615,120923615
Специалист по информационной безопасности,МРУ Росфинмониторинга по СЗФО,"Среднее профессиональное, Высшее. Уверенный пользователь ПК (Word, Excel). Умение работы с офисным оборудованием (факс, сканер, принтер)","Оперативно осуществлять поиск необходимой информации, в том числе с использованием информационно-телекоммуникационной сети ""Интернет"", работа с базами данных. ",70000 - 80000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120726616,120726616
Сервисный инженер в отдел эксплуатации,ПЖ19,Горишь желанием работать и обучаться. Готов решать технические проблемы разного уровня сложности. Готов к разъездному характеру работы,"Поддержка сети в рабочем состоянии(ремонт поврежденных участков). Подключение новых участников сети к интернет сети, предоставление IP телевидения; видеонаблюдения. ",70000 -  RUR,Нет опыта,https://hh.ru/vacancy/120779641,120779641
Специалист ОТ и ТБ,ВТС,Профильное высшее образование. Опыт работы на объектах строительства (опыт работы в данной сфере не менее 3-х лет).,"1. Проводить комплексные и целевые проверки в области промышленной безопасности, охраны труда, пожарной безопасности, (далее – ПБОТОС) в Обществе. -",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120841374,120841374
Инженер по обслуживанию ЦОД,Аэрофлот,Высшее техническое образование. Опыт сопровождения серверного оборудования и систем хранения данных иностранного и отечественного производства,Сопровождение инженерной инфраструктуры ЦОД,150000 - 195000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/121094522,121094522
Пентестер,Angara Security,Опыт работы в компаниях на позиции пентестера от 2х лет,Тестирование на проникновение. Анализ защищенности веб-приложений. Анализ безопасности беспроводных сетей. Социотехнический тест на проникновение,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/102071031,102071031
Специалист по защите информации,Городская психиатрическая больница №7 имени И.П.Павлова,,"Разработка организационно-распорядительной документации в области защиты информации, а также поддержание в актуальном состоянии системы ЛНА",80000 -  RUR,Нет опыта,https://hh.ru/vacancy/116538365,116538365
Младший специалист фрод-мониторинга,Т-Банк,Специалиста со средним специальным образованием или высшим. Обладаете аналитическим складом ума. Умеете грамотно и структурированно излагать мысли,Осуществлять круглосуточный онлайн мониторинг банковских операций на предмет мошенничества. Связываться с клиентами для проверки правомерности операции и идентификации. ,40000 -  RUR,Нет опыта,https://hh.ru/vacancy/120083222,120083222
Специалист по информационной безопасности,Страховая компания Чулпан,"Должен знать: Законы и иные нормативные правовые акты Российской Федерации, регулирующие отношения, связанные с защитой информации ограниченного доступа. ","Разработка новых и внесение изменений в действующие документы по информационной безопасности. Установка, настройка, техническое сопровождение средств защиты информации. ",48000 - 52000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120961713,120961713
Инженер информационной безопасности,Зевс,Профильное образование. Опыт работы на аналогичной должности от 2 лет. Знание и опыт администрирования межсетевых экранов (ПАК Dionis как преимущество). ,"Выбор, установка и настройка средств защиты информации (СЗИ) и средств криптографической защиты информации (СКЗИ) на поставляемых изделиях на производстве. ",180000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120494902,120494902
Специалист в Отдел мониторинга ИБ SOC 1 L,Консист-ОС,"Высшее образование, неоконченное в/о. Опыт релевантной работы по направлению деятельности от 1 года. Навыки анализа событий систем и оборудования. ",Мониторинг и анализ событий информационной безопасности. Регистрация и расследование инцидентов информационной безопасности. Разработка правил корреляций/нормализации SIEM,150000 - 150000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117113323,117113323
Специалист по информационной безопасности,СоюзСемСвекла,Высшее профессиональное (техническое) образование. Стаж работы от 1 года до 3 лет,"Разработка внутренних нормативных и методических документов, касающихся информационной безопасности и персональных данных. Категорирование информационных ресурсов компании",90000 - 90000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120282486,120282486
Главный специалист по охране труда и промышленной безопасности,Газпром нефть,"Готовы рассмотреть также студентов последних курсов по специальности ""Техносферная безопасность""","Проведение проверок административно-производственного контроля за пожарной, промышленной, экологической безопасностью и охраной труда. Контроль проведения работ повышенной опасности. ",Не указана,Нет опыта,https://hh.ru/vacancy/120902456,120902456
Ведущий специалист отдела связи Управления информационных технологий,Гохран России,Находится в ведении Министерства финансов Российской Федерации. Образование: высшее (профильное),Гохран России осуществляет деятельность по формированию Государственного фонда драгоценных металлов и драгоценных камней Российской Федерации,95000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/121078887,121078887
Специалист по информационной безопасности (стажер),Правительство Москвы,"Неоконченное (последний курс бакалавриата/специалитета, магистратура)/оконченное высшее образование. Владение английским языком А1-В2",Мониторинг событий информационной безопасности в SIEM системе. Анализ сетевого трафика. Разработка схем по применению ИБ для автоматизированных систем. ,65000 RUR,Нет опыта,https://hh.ru/vacancy/120247961,120247961
Начальник отдела информационно-аналитического обеспечения службы «РКЦ»,КГКУ Центр информационных технологий Красноярского края,Опыт работы аналитиком в сфере информационных технологий. Опыт формирования/анализа управленческой отчетности,,140000 - 143000 RUR,Более 6 лет,https://hh.ru/vacancy/120451395,120451395
Специалист по информационной безопасности,"ПОБЕДА, кондитерская фабрика",Высшее техническое образование. Знание программ и оборудования российских вендоров. Знания законодательных и регуляторных требований в области информационной безопасности.,"Мониторинг и обнаружение критических уязвимостей ОС, ПО, используемых в Компании, организация работы по их устранению",288000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/105842466,105842466
Инженер службы системно-технического обслуживания,Воентелеком,"Должен знать: - конструктивные особенности, назначение и режимы работы оборудования связи и правила его эксплуатации","Проводить диагностику и настройку сетевого ИТ-оборудования. - Проводить ремонтно-восстановительные работы. - Обеспечивать сохранность товарно-материальных ценностей, выданных для исполнения заявок. - ",63560 - 63560 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/121083522,121083522
Начинающий специалист по защите информации,Научно-исследовательский институт информационных технологий,"Образование: Высшее или неоконченное высшее (желательно техническое). Личные качества: ответственность, нацеленность на результат, обучаемость, умение работать в команде. ",Участие в: Обследовании потенциального объекта работ. Определении мер и средств защиты информации. Проведении измерений,32000 - 60000 RUR,Нет опыта,https://hh.ru/vacancy/119268225,119268225
Специалист по комплаенс ИБ,Сравни,Желательно иметь профильное образование в отрасли информационной безопасности или курсы переподготовки (не менее 512 часов по ФСТЭК),Комплаенс-аудит методологии обеспечения информационной безопасности компании. Участие в проектах по сопровождению внешних аудитов информационной безопасности (в т.ч. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120408404,120408404
Инженер инфраструктурных решений,Эксперт Плюс,Хорошее знание linux-based систем (debian based в основном). Опыт работы с серверным и сетевым оборудованием,Администрирование инфраструктурных узлов (аппаратных серверов и виртуальных машин). Администрирование системы виртуализации (vmware vcenter). Поддержка отказоустойчивых систем,300000 - 300000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120887778,120887778
Руководитель проектов (ИТ-инфраструктура),АйСи Инвест,Высшее образование (IT/техническое). Опыт проектного управления (наличие сертификатов о профессиональной подготовке по программам проектного управления приветствуются),"Руководство ИТ-проектами и проектами ИТ-инфраструктуры (полный цикл управления: планирование, сроки, содержание, бюджет, качество, ресурсы, риски, сдача). ",Не указана,Более 6 лет,https://hh.ru/vacancy/121069938,121069938
Инженер в Отдел сопровождения СКЗИ Департамента по информационной безопасности,Россельхозбанк,"Оконченное высшее техническое образование по специальностям, связанным с обеспечением информационной безопасности или IT",Осуществление администрирования и мониторинга Удостоверяющих центров АО «Россельхозбанк». Осуществление документального сопровождения Удостоверяющих центров АО «Россельхозбанк»,210000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/119866226,119866226
Эксперт по информационной безопасности (комплаенс)/Главный специалист,Финансовая организация,,Разработка и актуализация организационно-распорядительной документации Фонда по линии ИБ в соответствии с требованиями ИБ и регуляторными требованиями. ,300000 - 300000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120648105,120648105
Специалист по повышению осведомленности в отдел методологии ИБ,SberTech,"Знания руководящих и методических документов в области ИБ, защиты коммерческой тайны, персональных данных","Организация мероприятий по повышению ИБ-осведомленности работников (курсы, тренинги, информационные рассылки), проведение киберучений, развитие устойчивости к фишингу",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120899186,120899186
Специалист по защите информации,МНИТИ,Образование — Высшее техническое. Опыт: В аналогичной должности от двух лет. Проектирования и внедрения систем защиты информации,"В связи с усиление команды, повышением качества подготовки документов и расширением функционала мы ввели новую должность — Специалист по защите информации. ",200000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120232739,120232739
Инженер по информационной безопасности,СБЕР,"Знание Python, Bash, PowerShell для автоматизации задач. Знание регуляторных требований (PCI DSS, ФЗ-152). Анализ кейсов с уязвимостями. ",Расследование инцидентов (IR). Анализ угроз (Threat Intelligence). Пентестинг/аудит безопасности. Реализацию стандартов (ISO 27001).,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120573698,120573698
Заместитель начальника Управления информационной безопасности,Филиал ПАО Россети Волга-Саратовские РС,,"Разработка , координация ,управление и контроль за реализацией плана работ по обеспечению информационной безопасности в филиале ПАО ""Россети Волга""-""Саратовские РС"". ",93995 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120788573,120788573
Инженер,ГАУЗ Кузбасский Медицинский Информационно-Аналитический Центр,"Знание SQL, XML.",Техническая поддержка пользователей. Постановка Т3 разработчикам. Написание технической документации. Отладка внутренних процессов при интеграции с внешними сервисами. ,50000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120449126,120449126
Инженер-программист,Агропромышленное объединение Аврора,Техническое образование в сфере ИТ. Корректное общение с сотрудниками. Опыт работы в ИТ структуре.,Техническая поддержка пользователей. Обслуживание офисов по г. Липецк. Удаленная поддержка сотрудников (AnyDesk). Поддержание и обслуживание локальных сетей. Мониторинг серверов. ,80000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120743439,120743439
Эксперт ИТ-инфраструктуры,K2 Тех,"Глубокие знания оборудования одного из вендоров Dell, EMC, HPE, NetApp, Huawei или Lenovo",Участвовать в решении сложных заявок. Формировать рекомендации для заказчиков. Помогать архитекторам в разработке решений. Участвовать в развитии инженеров команды. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120836839,120836839
Ведущий инженер эксплуатации средств телекоммуникации,Центральный банк Российской Федерации (Банк России),Высшее профильное образование. Опыт работы в аналогичном функционале от 2х лет,,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120853461,120853461
