Название,Компания,Требования,Обязаности,Зарплата,Опыт работы,Ссылка,ID
Cпециалист по информационной безопасности,Ростелеком,"Имеете хорошее знание различных классов и систем защиты (МСЭ, NTA, SIEM, DLP, IDM, DCAP, PAM и т.д.). ",Обеспечивать организацию и контроль выполнения процессов ИБ для дочерних и зависимых организаций (ДЗО). Оказывать консультационную и методологическую поддержку локальным CISO. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/119249336,119249336
Заместитель начальника отдела киберкомплаенс,СБЕР,"Знание требований регулирующих органов в области защиты информации (ФСТЭК, ФСБ, Роскомнадзор, Минцифры)",Проведение анализа законодательных инициатив и документов регуляторов в сфере кибербезопасности,Не указана,Более 6 лет,https://hh.ru/vacancy/120123349,120123349
Сетевой инженер,Сохо-Сервис,"Опыт в построении сетевой инфраструктуры, знание принципов работы и архитектуры современных аппаратных и программных решений",,90000 - 110000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120683008,120683008
Инженер отдела защиты информации,Sitronics Group,Опыт работы в области обеспечения безопасности информации не менее 3 лет,,Не указана,Нет опыта,https://hh.ru/vacancy/118422072,118422072
Технический писатель (информационная безопасность),Инфосистемы Джет,Более 500 экспертов с отраслевым опытом. ТОП-3 ИБ-интеграторов по версии CNews Analytics,,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/121040006,121040006
Специалист по ГО и ЧС,РусКон,"Опыт работы от 1 года. Высшее образование в области гражданской защиты, безопасности или другой связанной сфере",Организация работы по содействию пожарной охране при тушении пожаров. Контроль исправности систем и средств противопожарной защиты,65000 -  RUR,Нет опыта,https://hh.ru/vacancy/119215862,119215862
Инженер по защите информации,Изумруд,Знание законодательства в сфере ИБ на уровне университетской программы обучения. Умение устанавливать операционные системы на компьютеры моложе 2023 г. ,"Предварительная установка и настройка операционных систем, программного обеспечения и средств защиты информации для проведения аттестационных испытаний",60000 -  RUR,Нет опыта,https://hh.ru/vacancy/120567727,120567727
Site Recovery Engineer / DevOps Engineer,Дартс рекрутинг сервисез,"Опыт работы от 3х лет в схожей позиции в FinTech проектах, связанных с платежными сервисами и транзакциями. ",,400000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120819250,120819250
Специалист по информационной безопасности,ВЗПП-Микрон,Высшее образование по направлению ИБ или проф.переподготовка по ИБ (не менее 512 ч.). Опыт работы от 1-го года. ,"Организация и проведение мероприятий, направленных на предотвращение несанкционированных действий с информационными ресурсами Общества",60000 - 80000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/119099138,119099138
Преподаватель Основ безопасности и защиты Родины,ГБПОУ города Москвы «Колледж современных технологий имени Героя Советского Союза М.Ф. Панова»,"Высшее профессиональное (педагогическое) образование. Наличие опыта работы в образовательных учреждениях, личной медицинской книжки","Проведение занятий с обучающимися колледжа по основам безопасности и защиты Родины, безопасности жизнедеятельности",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120276962,120276962
